replication,method,threshold,final_value,ppo_fraction
89.0,mse_oracle,nan,0.5601313926254687,0.5625
90.0,raw,nan,0.5824712111562371,0.0
90.0,ppo,nan,0.5560371978879267,1.0
90.0,mse_oracle,nan,0.4864442296696387,0.5
91.0,raw,nan,0.5850542684895158,0.0
91.0,ppo,nan,0.5623143597283742,1.0
91.0,mse_oracle,nan,0.5879556099365717,0.6875
92.0,raw,nan,0.5915400699798843,0.0
92.0,ppo,nan,0.5403799326883708,1.0
92.0,mse_oracle,nan,0.5789899078030604,0.5625
93.0,raw,nan,0.5881895566791266,0.0
93.0,ppo,nan,0.585005016957164,1.0
93.0,mse_oracle,nan,0.5790126409903463,0.6875
94.0,raw,nan,0.4169255644794326,0.0
94.0,ppo,nan,0.554016026305693,1.0
94.0,mse_oracle,nan,0.5537627340492559,0.8125
95.0,raw,nan,0.5458008539846055,0.0
95.0,ppo,nan,0.5507108113104572,1.0
95.0,mse_oracle,nan,0.5632075306258125,0.6875
96.0,raw,nan,0.558307363324146,0.0
96.0,ppo,nan,0.5251921705889367,1.0
96.0,mse_oracle,nan,0.5483096827446271,0.6875
97.0,raw,nan,0.5635930286390168,0.0
97.0,ppo,nan,0.553279320236913,1.0
97.0,mse_oracle,nan,0.5856579263587861,0.5625
98.0,raw,nan,0.4992337667388265,0.0
98.0,ppo,nan,0.5665589909734681,1.0
98.0,mse_oracle,nan,0.5796674333836339,0.75
99.0,raw,nan,0.6250330146501936,0.0
99.0,ppo,nan,0.5778333344764637,1.0
99.0,mse_oracle,nan,0.5942125291867552,0.625
