batch_size,ppo_epsilon,path_scale,population_rho,population_value,signal_sq,raw_risk,ppo_risk,risk_ratio,raw_bias_sq,ppo_bias_sq,raw_variance,ppo_variance
4,0.05,2.3000000000000003,0.2768203906660978,0.9353994232308758,3.9764610582263204e-05,0.11554109531021088,0.00776882018209782,0.06723858867046117,6.195895185596714e-29,2.4275701590391097e-05,0.4621643812408435,0.030978177922029716
4,0.05,2.325,0.2764918317598681,0.9358252295669186,3.9813461636563435e-05,0.11434535777414226,0.007961471349722898,0.06962653757617857,8.79800049160018e-29,2.420448237202558e-05,0.45738143109656904,0.03174906746940349
4,0.05,2.35,0.2761724353580313,0.9362375682250491,3.9860236590567315e-05,0.11317508820127553,0.00792821453735555,0.07005264730393376,1.205518901282424e-28,2.455217679246135e-05,0.4527003528051021,0.031614649442252354
4,0.05,2.375,0.27586183254115526,0.9366370007900263,3.99042803319071e-05,0.11202946921945772,0.0078034219798888745,0.06965508302643592,1.6116152031257045e-28,2.463170151883915e-05,0.4481178768778309,0.03111516111348014
4,0.05,2.4000000000000004,0.2755596733699337,0.9370240602834324,3.994504610533845e-05,0.11090771849498487,0.007680368322007747,0.0692500794915824,2.109350243465826e-28,2.4715964747745595e-05,0.4436308739799395,0.030622609429040003
4,0.05,2.4250000000000003,0.2752656257197948,0.9373992528488571,3.9982082471423026e-05,0.10980908679803632,0.007548178930250721,0.06873911030817992,2.686859504643768e-28,2.4625530202986576e-05,0.43923634719214527,0.030094213600190937
4,0.05,2.45,0.27497937419731266,0.9377630593258256,4.0015021727811745e-05,0.10873285620067477,0.007432601414547288,0.06835653614055585,3.4506516328540343e-28,2.4885820152315094e-05,0.4349314248026991,0.02963086237757989
4,0.05,2.475,0.27470061913203553,0.9381159367204781,4.00435696295341e-05,0.10767833839692273,0.00743245031867557,0.0690245636153685,4.410125283098058e-28,2.4893640423985216e-05,0.4307133535876909,0.029630226713006337
4,0.05,2.5,0.274429075637887,0.9384583195803793,4.006749626343049e-05,0.10664487313531888,0.007402315953772115,0.0694108937086878,5.631774830485403e-28,2.5125018341210502e-05,0.42657949254127553,0.029508763741723617
4,0.1,0.0,1.0,0.26409195184164375,0.00904281695326705,0.5409465134028929,0.5409465134028929,1.0,1.5649706195042097e-34,1.5649706195042097e-34,2.1637860536115716,2.1637860536115716
4,0.1,0.025,0.9964458593499054,0.28597265538016053,0.009895138155650449,0.561758285934899,0.5349139926669222,0.9522138009530176,2.0059534892727487e-34,0.00026081186261587316,2.247033143739596,2.1386127232172254
4,0.1,0.05,0.9858816255429677,0.308527610500356,0.010667033250135856,0.5818432117968915,0.16221667779833412,0.2787979210024029,1.679422537608416e-34,0.007197845238624233,2.327372847187566,0.6200753302388395
4,0.1,0.07500000000000001,0.9687333045860657,0.3316200088243894,0.011325232576600258,0.6003841670858927,0.10919542702862642,0.18187592713950534,1.6784162486478605e-34,0.008646195374671288,2.401536668343571,0.4021969266158205
4,0.1,0.1,0.945764824434929,0.35510320336220125,0.011841535767046728,0.6166480700232336,0.08533137608527648,0.13837937753062524,2.0658625280730767e-34,0.009633470431821941,2.4665922800929345,0.30279162261381815
4,0.1,0.125,0.9179976078306635,0.378825191103528,0.012195296585101156,0.630033572882945,0.07123733929665071,0.11306911625467618,2.628003043121919e-34,0.01036022158447102,2.52013429153178,0.2435084708487188
4,0.1,0.15000000000000002,0.8866006101110279,0.4026332269848695,0.012375038172766027,0.6401041191538994,0.06214671109478495,0.09708844113818786,1.911479542725771e-34,0.010837287359038049,2.5604164766155977,0.2052376949429876
4,0.1,0.17500000000000002,0.852774291188516,0.426378250617731,0.012379009664448545,0.6466033242691005,0.05549019752138822,0.08581798985353585,2.239117435540929e-34,0.011055792962275343,2.586413297076402,0.1777376182364515
4,0.1,0.2,0.817649805840848,0.44991884953762884,0.012214689942493433,0.6494527676049678,0.05086340625878069,0.0783173292899393,2.2929689880285025e-34,0.011078639128283595,2.5978110704198714,0.1591390685219884
4,0.1,0.225,0.7822168403773045,0.47312455259673075,0.011897415467281732,0.6487349176010566,0.04671113559077584,0.07200342439329145,2.169586059662277e-34,0.010923662108337076,2.5949396704042265,0.14314989392975505
4,0.1,0.25,0.7472840752847211,0.49587833036294354,0.011448420966449942,0.6446655618557808,0.04365930232507867,0.0677239562780395,2.295510558415015e-34,0.010594336620830268,2.5786622474231233,0.1322598628169936
4,0.1,0.275,0.7134686904274344,0.5180782621935649,0.010892620836175933,0.6375606546820201,0.04071516696031723,0.06386085254998006,2.1602446904061653e-34,0.010159444383819936,2.5502426187280802,0.12222289030598918
4,0.1,0.30000000000000004,0.6812072243839136,0.5396384012252888,0.010256432845268818,0.6278021002695321,0.03817684807810165,0.06081032233200768,2.017256609014995e-34,0.009643602010949937,2.5112084010781284,0.11413298426860685
4,0.1,0.325,0.650779235740415,0.5604889223869394,0.009565875044339915,0.6158059966641715,0.035906120733097936,0.058307520432736654,1.972947708825006e-34,0.009032268295895186,2.463223986656686,0.107495409748811
4,0.1,0.35000000000000003,0.6223364496176734,0.5805756725257354,0.00884507676724903,0.6019956339508575,0.033691465912064886,0.055966296119043295,1.574486749601607e-34,0.008381153529762255,2.40798253580343,0.10124124952921051
4,0.1,0.375,0.5959321775560316,0.5998592570807411,0.00811525708871039,0.586780357559872,0.03187878134059162,0.05432830347825485,1.27323338958053e-34,0.007724409799771122,2.347121430239488,0.09661748616328199
4,0.1,0.4,0.571547901593196,0.6183137978207707,0.00739415355389237,0.5705404515337111,0.030234568137133645,0.05299285625735723,1.6741988320473723e-34,0.0070604219460386084,2.2821618061348445,0.09269658476438014
4,0.1,0.42500000000000004,0.5491155799483926,0.6359254852904084,0.006695836840728666,0.5536175367092531,0.02863809877410388,0.05172903110029901,1.4779318813704127e-34,0.006411665716451449,2.2144701468370123,0.08890573223060971
4,0.1,0.45,0.5285353544076004,0.6526910320529007,0.006030823114969968,0.5363096057079263,0.027023250634405232,0.05038740747284334,1.4531810462469555e-34,0.005789280136447084,2.145238422831705,0.08493588199183259
4,0.1,0.47500000000000003,0.5096889865763955,0.6686161122412354,0.0054063909559273135,0.518869676068961,0.025549330772770995,0.049240362177910994,1.2114450601440478e-34,0.005216189546608394,2.075478704275844,0.0813325649046504
4,0.1,0.5,0.49244965127361556,0.6837138521014535,0.0048270179337187415,0.5015070647514323,0.02451762451940076,0.0488878945933747,1.2082833299825415e-34,0.004677696857779447,2.006028259005729,0.07935971064648525
4,0.1,0.525,0.47668879721023333,0.6980034169912464,0.004294867361259015,0.48439040527850874,0.023459454646758658,0.04843088217915926,9.93809591908179e-35,0.004178833127952806,1.937561621114035,0.07712248607522341
