checkpoint_id,replication,rollout_batch,minibatch,selection_bin,formula_split,population_sequence_ess,blocks_per_estimator,sequences_per_estimator,calibration_blocks,raw_variance_trace,ppo_variance_trace,ppo_bias_squared,ppo_bias_squared_naive,empirical_raw_bias_squared,raw_formula_mse,ppo_formula_mse,raw_minus_ppo_formula_mse,ppo_formula_reduction_pct,formula_prefers_ppo
20.0,8.0,6.0,14.0,3.0,test,0.17416232103516502,1.0,128.0,100.0,0.036116149378180286,0.023433723191955136,0.002355398572809383,0.0025897358047289347,0.0005892849068939349,0.036116149378180286,0.02578912176476452,0.010327027613415765,28.5939331607009,1.0
20.0,8.0,6.0,14.0,3.0,test,0.17416232103516502,2.0,256.0,100.0,0.036116149378180286,0.023433723191955136,0.002355398572809383,0.0025897358047289347,0.0005892849068939349,0.018058074689090143,0.014072260168786951,0.003985814520303192,22.07220087926227,1.0
20.0,8.0,6.0,14.0,3.0,test,0.17416232103516502,4.0,512.0,100.0,0.036116149378180286,0.023433723191955136,0.002355398572809383,0.0025897358047289347,0.0005892849068939349,0.009029037344545071,0.008213829370798167,0.0008152079737469044,9.028736316384997,1.0
20.0,8.0,6.0,14.0,3.0,test,0.17416232103516502,8.0,1024.0,100.0,0.036116149378180286,0.023433723191955136,0.002355398572809383,0.0025897358047289347,0.0005892849068939349,0.004514518672272536,0.005284613971803775,-0.0007700952995312394,-17.05819280936955,0.0
21.0,9.0,2.0,14.0,3.0,fit,0.1349968465096469,1.0,128.0,100.0,0.031798026798088797,0.01939077571849983,0.002335998958849297,0.0025299067160342954,0.00044146153307515133,0.031798026798088797,0.02172677467734913,0.010071252120739668,31.672569448067115,1.0
21.0,9.0,2.0,14.0,3.0,fit,0.1349968465096469,2.0,256.0,100.0,0.031798026798088797,0.01939077571849983,0.002335998958849297,0.0025299067160342954,0.00044146153307515133,0.015899013399044398,0.012031386818099213,0.003867626580945185,24.326204927770213,1.0
21.0,9.0,2.0,14.0,3.0,fit,0.1349968465096469,4.0,512.0,100.0,0.031798026798088797,0.01939077571849983,0.002335998958849297,0.0025299067160342954,0.00044146153307515133,0.007949506699522199,0.0071836928884742544,0.0007658138110479447,9.633475887176415,1.0
21.0,9.0,2.0,14.0,3.0,fit,0.1349968465096469,8.0,1024.0,100.0,0.031798026798088797,0.01939077571849983,0.002335998958849297,0.0025299067160342954,0.00044146153307515133,0.0039747533497610996,0.004759845923661776,-0.0007850925739006764,-19.75198219401121,0.0
22.0,10.0,2.0,8.0,3.0,fit,0.13887917325921986,1.0,128.0,100.0,0.08295269306703464,0.04376338035871191,0.0038349996597005593,0.004272633463287679,0.00039471056652883133,0.08295269306703464,0.04759838001841247,0.03535431304862217,42.619849629296674,1.0
22.0,10.0,2.0,8.0,3.0,fit,0.13887917325921986,2.0,256.0,100.0,0.08295269306703464,0.04376338035871191,0.0038349996597005593,0.004272633463287679,0.00039471056652883133,0.04147634653351732,0.025716689839056516,0.0157596566944608,37.99673310600131,1.0
22.0,10.0,2.0,8.0,3.0,fit,0.13887917325921986,4.0,512.0,100.0,0.08295269306703464,0.04376338035871191,0.0038349996597005593,0.004272633463287679,0.00039471056652883133,0.02073817326675866,0.014775844749378538,0.005962328517380121,28.750500059410598,1.0
22.0,10.0,2.0,8.0,3.0,fit,0.13887917325921986,8.0,1024.0,100.0,0.08295269306703464,0.04376338035871191,0.0038349996597005593,0.004272633463287679,0.00039471056652883133,0.01036908663337933,0.00930542220453955,0.0010636644288397803,10.25803396622917,1.0
23.0,14.0,5.0,15.0,3.0,fit,0.16475572216682524,1.0,128.0,100.0,0.06875193304853494,0.054048416296432644,0.002950033726159815,0.0034905178891241413,0.0007511308701765175,0.06875193304853494,0.05699845002259246,0.01175348302594248,17.095494635249295,1.0
23.0,14.0,5.0,15.0,3.0,fit,0.16475572216682524,2.0,256.0,100.0,0.06875193304853494,0.054048416296432644,0.002950033726159815,0.0034905178891241413,0.0007511308701765175,0.03437596652426747,0.029974241874376136,0.004401724649891334,12.804657133884419,1.0
23.0,14.0,5.0,15.0,3.0,fit,0.16475572216682524,4.0,512.0,100.0,0.06875193304853494,0.054048416296432644,0.002950033726159815,0.0034905178891241413,0.0007511308701765175,0.017187983262133735,0.016462137800267975,0.0007258454618657602,4.2229821311546525,1.0
