checkpoint_id,replication,rollout_batch,minibatch,selection_bin,minibatches_per_estimator,sequences_per_diagnostic,population_sequence_ess,training_sample_ess,mean_diagnostic_sample_ess,raw_gradient_mse,ppo_gradient_mse,raw_minus_ppo_mse,ppo_mse_reduction_pct,raw_relative_gain_pct,ppo_relative_gain_pct,ppo_minus_raw_gain_pct,diagnostic_draws
29.0,14.0,1.0,8.0,4.0,4.0,512.0,0.30687556346184414,0.3959448966380055,0.3493526057369022,0.006122440009117796,0.005136719105941136,0.0009857209031766605,16.100131674768285,3.5720632084843773,0.6448888551577442,-2.927174353326633,32.0
30.0,16.0,6.0,9.0,4.0,1.0,128.0,0.32474639874605865,0.7478215194673774,0.48781006694784035,0.022191597293309228,0.02014756755000552,0.0020440297433037065,9.21082748703259,0.08182873153042469,0.7530636126716006,0.6712348811411759,32.0
30.0,16.0,6.0,9.0,4.0,4.0,512.0,0.32474639874605865,0.7478215194673774,0.4273183278127083,0.007224685032585346,0.006951174665677899,0.0002735103669074474,3.785775652140395,1.6649725177194714,2.144965245679455,0.47999272795998316,32.0
31.0,18.0,5.0,10.0,4.0,1.0,128.0,0.21210436068925184,0.37514622320862684,0.3251366572622788,0.08230773354152163,0.025854188352705844,0.05645354518881579,68.58838502743703,-1.717160267431312,-0.6739239990651946,1.0432362683661174,32.0
31.0,18.0,5.0,10.0,4.0,4.0,512.0,0.21210436068925184,0.37514622320862684,0.29321436293763464,0.013900314473677023,0.008814228287939025,0.005086086185737997,36.58972029279985,2.0727483394231028,1.3041902237509135,-0.7685581156721893,32.0
32.0,18.0,7.0,15.0,4.0,1.0,128.0,0.3975957480168304,0.5686646730105599,0.5425966749991546,0.020075978494330494,0.018349757243664166,0.0017262212506663275,8.598441421691184,-0.25441351829432735,-0.18206764474438647,0.07234587354994085,32.0
32.0,18.0,7.0,15.0,4.0,4.0,512.0,0.3975957480168304,0.5686646730105599,0.4798169517552414,0.004865188231476784,0.004900465449692311,-3.527721821552651e-05,-0.7250946219776254,0.7804477259998845,0.6147646263808666,-0.16568309961901784,32.0
33.0,5.0,5.0,4.0,5.0,1.0,128.0,0.5742689214885942,0.6030896398539781,0.6092100479139628,0.019703069872314415,0.017269505381628962,0.00243356449068545,12.35119454204926,0.31744787433368904,-0.07465007092122183,-0.39209794525491093,32.0
33.0,5.0,5.0,4.0,5.0,4.0,512.0,0.5742689214885942,0.6030896398539781,0.5873506158786486,0.006165627572351281,0.006835453935329105,-0.0006698263629778245,-10.863879712448869,1.6884511263802267,1.2628663350175153,-0.4255847913627111,32.0
34.0,11.0,2.0,13.0,5.0,1.0,128.0,0.49302073488112047,0.6239822284027297,0.5714593413273421,0.019891723635621614,0.012118259687210399,0.007773463948411217,39.07888572557225,1.503581409143539,0.6169930766268698,-0.8865883325166691,32.0
34.0,11.0,2.0,13.0,5.0,4.0,512.0,0.49302073488112047,0.6239822284027297,0.5090312981484119,0.00423961613680327,0.005966851108345663,-0.001727234971542393,-40.740362235830915,2.9137006061029505,1.6102767542066865,-1.3034238518962638,32.0
35.0,11.0,4.0,5.0,5.0,1.0,128.0,0.5767185197951137,0.7163770196158935,0.635172947253767,0.021506238295659782,0.01920422484137555,0.0023020134542842316,10.703933540756896,0.28905172796786405,0.7370111969044281,0.44795946893656413,32.0
35.0,11.0,4.0,5.0,5.0,4.0,512.0,0.5767185197951137,0.7163770196158935,0.5861791634279362,0.0052695659700067125,0.005704525158074726,-0.00043495918806801283,-8.254174832305187,1.8385336488211357,2.3449344751036887,0.5064008262825531,32.0
36.0,12.0,1.0,10.0,5.0,1.0,128.0,0.5774700004849331,0.7172246854421803,0.6118810234498424,0.014512664111179251,0.010852498197027426,0.0036601659141518254,25.220496292836838,2.9185789020594712,0.31873030650080747,-2.599848595558664,32.0
36.0,12.0,1.0,10.0,5.0,4.0,512.0,0.5774700004849331,0.7172246854421803,0.5860752539060377,0.004123914124088213,0.00485390829529554,-0.0007299941712073277,-17.7014881794787,3.9408711017093796,1.0149180295420177,-2.9259530721673617,32.0
37.0,14.0,4.0,11.0,5.0,1.0,128.0,0.5816793723187971,0.3358111312274625,0.6127979708624138,0.023739543763031293,0.022463530136346332,0.0012760136266849592,5.375055390373793,1.936291165638402,0.7543582406200948,-1.1819329250183073,32.0
37.0,14.0,4.0,11.0,5.0,4.0,512.0,0.5816793723187971,0.3358111312274625,0.603739913011471,0.005425679410501679,0.007174738806230154,-0.0017490593957284737,-32.23668896365458,4.2523476409758345,2.868147705389669,-1.3841999355861652,32.0
38.0,16.0,3.0,13.0,5.0,1.0,128.0,0.4625412519766238,0.27822544507805863,0.5089206715304444,0.025529347737095563,0.01985064785197621,0.00567869988511935,22.243811097719053,3.382674792797299,0.38511064868674194,-2.997564144110558,32.0
38.0,16.0,3.0,13.0,5.0,4.0,512.0,0.4625412519766238,0.27822544507805863,0.502017072799197,0.007291583243143265,0.00951104303954037,-0.0022194597963971045,-30.438654025985407,5.235138721626047,1.6910939139209755,-3.5440448077050712,32.0
39.0,19.0,6.0,15.0,5.0,1.0,128.0,0.5739070010943166,0.7079904374356658,0.6550162435279401,0.02321019984915607,0.01653226891913654,0.006677930930019526,28.771535675778935,0.01546075588071344,-0.12030222496586757,-0.135762980846581,32.0
39.0,19.0,6.0,15.0,5.0,4.0,512.0,0.5739070010943166,0.7079904374356658,0.6007913943995893,0.006226177636206552,0.007358640534516094,-0.0011324628983095414,-18.18873415567246,1.4343636843241745,0.7288841789895948,-0.7054795053345795,32.0
40.0,19.0,7.0,12.0,5.0,1.0,128.0,0.4363658899517935,0.4767014606747359,0.5016295506106471,0.03793672654493577,0.034346571179578476,0.0035901553653572855,9.463534923353953,-1.0741546275194382,-0.5292911487066525,0.5448634788127856,32.0
40.0,19.0,7.0,12.0,5.0,4.0,512.0,0.4363658899517935,0.4767014606747359,0.4587840397667152,0.009568936113388589,0.008943427265034656,0.0006255088483539323,6.5368693127623425,0.6288581049455064,1.1196900668924497,0.4908319619469434,32.0
41.0,3.0,1.0,6.0,6.0,1.0,128.0,0.7498613162507397,0.6619965886228195,0.7702431152621279,0.013381597585447913,0.010500200991468705,0.002881396593979209,21.532530593452023,2.9140552547592025,-1.3496132260508835,-4.263668480810086,32.0
41.0,3.0,1.0,6.0,6.0,4.0,512.0,0.7498613162507397,0.6619965886228195,0.7636359429863087,0.003416949131342902,0.004396976896350743,-0.0009800277650078408,-28.681368300694547,3.7822988858644657,-0.20789643489047904,-3.9901953207549443,32.0
42.0,3.0,4.0,3.0,6.0,1.0,128.0,0.7217967020388358,0.8460627017643755,0.7381546187957424,0.013202741866721938,0.011055184461540088,0.002147557405181851,16.26599555502073,7.225444327210096,6.114531048286356,-1.1109132789237404,32.0
42.0,3.0,4.0,3.0,6.0,4.0,512.0,0.7217967020388358,0.8460627017643755,0.7236242994635617,0.003769811769686356,0.0036862175933412107,8.359417634514558e-05,2.2174628722139227,8.187012275827794,6.5226084528474,-1.6644038229803912,32.0
