checkpoint_id,selection_bin,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,method,selected_ppo,agrees_with_formula_oracle,heldout_gradient_mse,evaluation_draws
15.0,2.0,4.0,512.0,0.04266423924961842,Formula oracle,1.0,1.0,0.005606841596650456,100.0
15.0,2.0,4.0,512.0,0.04266423924961842,Fitted ESS,1.0,1.0,0.005606841596650456,100.0
15.0,2.0,4.0,512.0,0.04266423924961842,Effective-count transfer,1.0,1.0,0.005606841596650456,100.0
15.0,2.0,4.0,512.0,0.04266423924961842,Fixed ESS 0.1,1.0,1.0,0.005606841596650456,100.0
15.0,2.0,8.0,1024.0,0.04266423924961842,Raw,0.0,0.0,0.0037031036572221883,100.0
15.0,2.0,8.0,1024.0,0.04266423924961842,PPO masked,1.0,1.0,0.0037005685249552494,100.0
15.0,2.0,8.0,1024.0,0.04266423924961842,Formula oracle,1.0,1.0,0.0037005685249552494,100.0
15.0,2.0,8.0,1024.0,0.04266423924961842,Fitted ESS,0.0,0.0,0.0037031036572221883,100.0
15.0,2.0,8.0,1024.0,0.04266423924961842,Effective-count transfer,1.0,1.0,0.0037005685249552494,100.0
15.0,2.0,8.0,1024.0,0.04266423924961842,Fixed ESS 0.1,1.0,1.0,0.0037005685249552494,100.0
17.0,3.0,1.0,128.0,0.12514345133179386,Raw,0.0,0.0,0.047922020426788725,100.0
17.0,3.0,1.0,128.0,0.12514345133179386,PPO masked,1.0,1.0,0.028605395745845898,100.0
17.0,3.0,1.0,128.0,0.12514345133179386,Formula oracle,1.0,1.0,0.028605395745845898,100.0
17.0,3.0,1.0,128.0,0.12514345133179386,Fitted ESS,1.0,1.0,0.028605395745845898,100.0
17.0,3.0,1.0,128.0,0.12514345133179386,Effective-count transfer,1.0,1.0,0.028605395745845898,100.0
17.0,3.0,1.0,128.0,0.12514345133179386,Fixed ESS 0.1,0.0,0.0,0.047922020426788725,100.0
17.0,3.0,2.0,256.0,0.12514345133179386,Raw,0.0,0.0,0.020099849871741526,100.0
17.0,3.0,2.0,256.0,0.12514345133179386,PPO masked,1.0,1.0,0.013597181784464476,100.0
17.0,3.0,2.0,256.0,0.12514345133179386,Formula oracle,1.0,1.0,0.013597181784464476,100.0
17.0,3.0,2.0,256.0,0.12514345133179386,Fitted ESS,1.0,1.0,0.013597181784464476,100.0
17.0,3.0,2.0,256.0,0.12514345133179386,Effective-count transfer,1.0,1.0,0.013597181784464476,100.0
17.0,3.0,2.0,256.0,0.12514345133179386,Fixed ESS 0.1,0.0,0.0,0.020099849871741526,100.0
